,index,name,unit,cal,carbs,protein,fat,sugar,salt
33,85,[한솥도시락] 치킨마요덮밥,1인분(230g),453 kcal,79.58g,25.32g,29.6g,0g,0mg
34,81,양송이덮밥,1인분(600g),582 kcal,95.6g,18.2g,14.1g,0g,0mg
35,54,[CU] 참치김치볶음 삼각김밥,1개(100g),173 kcal,31g,4g,3.7g,1g,688mg
36,91,[CJ] 고추참치덮밥,1인분(320g),395 kcal,71.07g,14.18g,6g,0g,0mg
37,68,salmon avocado roll,1팩(100g),190 kcal,33g,6g,4g,0g,0mg
38,58,삼각김밥 김치불고기,1개(100g),189 kcal,0,0,0,0,0mg
39,65,[훼밀리마트] 듬뿍닭불갈비삼각김밥,1개(100g),160 kcal,29.67g,5.38g,2.2g,0g,0mg
40,38,[농심] 소고기국밥 248g,1인분(248g),375 kcal,0,0,0,0,0mg
41,32,순댓국,1인분(300g),201 kcal,6.6g,16.2g,12.3g,0.49g,564mg
42,40,[오뚜기] 옛날국밥쇠고기미역국밥,1개(350g),255 kcal,49g,10g,1.9g,0g,820mg
43,94,[청정원] 카레여왕 치킨카레,1봉(160g),125 kcal,21g,4g,2.9g,8g,1010mg
44,89,[CJ] 칠리새우덮밥,1인분(310g),405 kcal,63.25g,11.9g,11.6g,0g,0mg
45,60,삼각김밥 숯불갈비맛,1개(100g),187 kcal,0,0,0,0,0mg
46,84,[청정원] 쇠고기짜장,1회분(200g),180 kcal,29.9g,6.2g,3.9g,0g,0mg
47,83,[청정원] 쇠고기카레,1인분(200g),165 kcal,25.99g,4.1g,4.96g,0g,0mg
48,63,삼각김밥 참치김치매운맛,1개(100g),161 kcal,0,0,0,0,0mg
49,44,참치김밥,1줄(250g),418 kcal,61.2g,14.5g,12.8g,0.3g,864.56mg
50,97,단호박영양밥,1인분(170g),355 kcal,78.75g,14.61g,1.78g,0g,0mg
51,78,낙지덮밥,1인분(300g),403 kcal,64.35g,26.63g,4.69g,8.28g,1128mg
52,74,닭고기덮밥,1대접(212g),466 kcal,74.79%,16.75%,6.52%,0%,0mg
53,98,[오뚜기] 맛있는춘천닭갈비덮밥,1개(340g),460 kcal,82g,15g,8g,0g,0mg
54,56,삼각김밥 소고기볶음,1개(100g),192 kcal,0,0,0,0,0mg
55,70,[훼밀리마트] 햄참치샐러드삼각김밥,1개(112g),206 kcal,33g,5g,6g,0g,0mg
56,57,삼각김밥 오삼불고기,1개(100g),194 kcal,0,0,0,0,0mg
57,73,규동 (쇠고기덮밥),1인분(350g),614 kcal,70.27g,23.87g,25.09g,0.93g,757mg
58,95,[청정원] 카레여왕 비프카레,1인분(160g),133 kcal,24g,4g,2.3g,8g,760mg
59,34,[농심] 소고기국밥,1인분(250g),380 kcal,77.51g,8.5g,3.44g,0g,0mg
60,62,삼각김밥 참치마요네즈,1개(100g),163 kcal,0,0,0,0,0mg
61,71,[훼밀리마트] 김치베이컨김밥,1개(220g),339 kcal,49.75g,8g,12g,0g,0mg
62,39,도토리묵밥,1인분(563g),338 kcal,61g,12.25g,5g,0g,0mg
63,42,김밥,1줄(200g),318 kcal,57.6g,7.3g,6.5g,0.5g,833.29mg
64,77,버섯덮밥,1대접(232g),430 kcal,77.48g,12.6g,3.62g,0g,0mg
65,31,국밥,1인분(500g),680 kcal,0,0,0,0,0mg
66,66,[훼밀리마트] 매콤참치김밥,1줄(190g),280 kcal,55.55g,8.83g,2.5g,0g,0mg
67,41,굴밥,1인분(440g),470 kcal,92.21g,15.98g,3.35g,0g,0mg
