,index,name,unit,cal,carbs,protein,fat,sugar,salt
0,43,김초밥,1줄(274g),491 kcal,75.43%,13.67%,9.06%,0%,0mg
1,45,충무김밥,1회분(100g),145 kcal,27.29g,5.86g,1.49g,4.3g,323.57mg
2,51,삼각김밥 게장양념,1개(100g),167 kcal,0,0,0,0,0mg
3,92,[CJ] 볶음자장,1봉지(180g),145 kcal,20.75g,2g,6g,0g,0mg
4,79,소머리국밥,1인분(800g),632 kcal,17.5g,76g,28.7g,0g,0mg
5,50,비엔나야채주먹밥,1개(100g),145 kcal,27.4g,4.4g,2g,0g,0mg
6,49,[바이더웨이] 삼각김밥 김치참치마요네즈,1개(105g),178 kcal,0,0,0,0,0mg
7,93,[청정원] 카레여왕 야채카레,1인분(180g),105 kcal,18g,3g,2.4g,8g,770mg
8,46,[GS25] 김치김밥,1줄(144.6g),381 kcal,0,0,0,0,0mg
9,96,[청정원] 카레여왕 스위트카레,1인분(180g),210 kcal,25g,4g,10g,0g,750mg
10,76,해물덮밥,1인분(700g),772 kcal,100.4g,42g,22.4g,0g,0mg
11,48,미니김밥,1팩(170g),239 kcal,0,0,0,0,0mg
12,33,[농심] 미역국밥,1인분(249g),385 kcal,0,0,0,0,0mg
13,61,삼각김밥 소고기고추장,1개(100g),172 kcal,0,0,0,0,0mg
14,72,오징어덮밥,1인분(500g),667 kcal,108.16g,31.09g,13.23g,13.46g,1659mg
15,35,[농심] 추어탕국밥,1인분(237g),365 kcal,0,0,0,0,0mg
16,88,[CJ] 인도치킨커리덮밥,1인분(340g),450 kcal,77.05%,17.9%,7.8%,0%,0mg
17,67,[GS25] 전주비빔순한맛삼각김밥,1개(100g),170 kcal,32g,4g,2.8g,0g,0mg
18,80,제육덮밥,1회(100g),156 kcal,23.1g,6.02g,4.45g,1.45g,307.61mg
19,90,[CJ] 김치제육덮밥,1인분(315g),420 kcal,74.75%,14.5%,7%,0%,0mg
20,75,잡탕밥,1인분(750g),777 kcal,104.9g,44.1g,20.1g,0g,0mg
21,52,삼각김밥 떡갈비,1개(100g),150 kcal,0,0,0,0,0mg
22,82,[CJ] 리조또,1회분(210g),365 kcal,0,0,0,0,0mg
23,87,[ASIAN HOME GOURMET] INDIAN KORMA CURRY액상카레,1회분(13g),40 kcal,0,0,0,0,0mg
24,36,돼지국밥,1인분(480g),470 kcal,35.98g,42.29g,15.97g,0.95g,1735mg
25,37,콩나물국밥,1인분(500g),445 kcal,90.3g,10.58g,4.38g,3.17g,1221mg
26,99,[오뚜기] 맛있는김치참치덮밥,1개(340g),425 kcal,0,0,0,0,0mg
27,47,쇠고기김밥,1줄(186g),512 kcal,90.64g,11.43g,7.39g,0g,0mg
28,86,[오뚜기] 춘천닭갈비덮밥,1인분(340g),460 kcal,81.88g,15.12g,8g,0g,0mg
29,69,[훼밀리마트] 매콤제육김치삼각김밥,1개(112g),187 kcal,38g,4g,2g,0g,0mg
30,59,[CU] 전주비빔 삼각김밥,1개(105g),180 kcal,33g,4g,3.6g,3g,478mg
31,53,삼각김밥 소고기쌈장,1개(100g),157 kcal,0,0,0,0,0mg
32,55,삼각김밥 양송이김치볶음,1개(100g),163 kcal,0,0,0,0,0mg
